raw,Date,Time,Station
7/Nov 3:29PM Y/O/Z,07-Nov,3:29PM,NPMYOZ
9:37PM Y/I/H 10/Nov,10-Nov,9:37PM,PMYIHN
11:18AM 9/Nov YIY,09-Nov,11:18AM,AMNYIY
10-Nov Y-I-H 12:57PM,10-Nov,12:57PM,NYIHPM
6-Nov Y/O/X 12:41PM,06-Nov,12:41PM,NYOXPM
7-Nov 8:37PM YIH,07-Nov,8:37PM,NPMYIH
12:48PM 8-Nov Y-O-Y,08-Nov,12:48PM,PMNYOY
6:55PM Y/O/X 8/Nov,08-Nov,6:55PM,PMYOXN
7:37AM 9/Nov Y:I:Y,09-Nov,7:37AM,AMNYIY
YOY 7:20PM 9/Nov,09-Nov,7:20PM,YOYPMN
7/Nov 9:59PM Y:I:Z,07-Nov,9:59PM,NPMYIZ
8:08PM 9/Nov YOW,09-Nov,8:08PM,PMNYOW
1:42PM Y/I/Y 6-Nov,06-Nov,1:42PM,PMYIYN
6:42PM 9-Nov Y/I/W,09-Nov,6:42PM,PMNYIW
6:01PM 7/Nov Y-O-H,07-Nov,6:01PM,PMNYOH
Y-I-H 7-Nov 9:45PM,07-Nov,9:45PM,YIHNPM
YIX 3:26PM 10-Nov,10-Nov,3:26PM,YIXPMN
6/Nov YIW 9:11AM,06-Nov,9:11AM,NYIWAM
3:20PM Y/O/Y 8/Nov,08-Nov,3:20PM,PMYOYN
11:03PM 10-Nov Y:O:W,10-Nov,11:03PM,PMNYOW
Y-I-Z 10-Nov 4:32PM,10-Nov,4:32PM,YIZNPM
7-Nov Y:I:Y 5:14PM,07-Nov,5:14PM,NYIYPM
Y:I:H 9:39AM 7-Nov,07-Nov,9:39AM,YIHAMN
9:03PM 8/Nov YOH,08-Nov,9:03PM,PMNYOH
10/Nov YIY 2:16PM,10-Nov,2:16PM,NYIYPM
2:53PM Y:I:X 7/Nov,07-Nov,2:53PM,PMYIXN
9/Nov Y/I/X 5:32PM,09-Nov,5:32PM,NYIXPM
3:27PM 8-Nov Y-I-W,08-Nov,3:27PM,PMNYIW
Y-I-Y 1:49PM 10/Nov,10-Nov,1:49PM,YIYPMN
9-Nov Y-I-W 10:29AM,09-Nov,10:29AM,NYIWAM
Y/I/X 7:28AM 7-Nov,07-Nov,7:28AM,YIXAMN
Y-O-H 3:00PM 9/Nov,09-Nov,3:00PM,YOHPMN
Y-I-Y 9:47AM 10-Nov,10-Nov,9:47AM,YIYAMN
4:36PM 6-Nov Y/O/W,06-Nov,4:36PM,PMNYOW
6/Nov 11:31AM YOH,06-Nov,11:31AM,NAMYOH
10:51AM 10-Nov YOY,10-Nov,10:51AM,AMNYOY
Y-I-H 7/Nov 6:17PM,07-Nov,6:17PM,YIHNPM
1:53PM 9/Nov Y:O:Y,09-Nov,1:53PM,PMNYOY
Y/I/X 3:56PM 6/Nov,06-Nov,3:56PM,YIXPMN
Y-I-W 9/Nov 8:12AM,09-Nov,8:12AM,YIWNAM
9-Nov 7:28PM YIW,09-Nov,7:28PM,NPMYIW
8/Nov 12:13PM Y:O:X,08-Nov,12:13PM,NPMYOX
10/Nov 11:39PM Y-O-Z,10-Nov,11:39PM,NPMYOZ
9-Nov 6:35PM Y/O/X,09-Nov,6:35PM,NPMYOX
9:18AM 8/Nov Y-I-H,08-Nov,9:18AM,AMNYIH
Y-O-W 10/Nov 3:36PM,10-Nov,3:36PM,YOWNPM
6/Nov 2:04PM Y/O/W,06-Nov,2:04PM,NPMYOW
11:05AM 8/Nov Y:O:W,08-Nov,11:05AM,AMNYOW
YOY 10:19AM 6/Nov,06-Nov,10:19AM,YOYAMN
10-Nov Y-I-Y 12:40PM,10-Nov,12:40PM,NYIYPM
6-Nov 1:06PM Y/I/W,06-Nov,1:06PM,NPMYIW
8/Nov YOZ 6:14PM,08-Nov,6:14PM,NYOZPM
10-Nov 5:26PM Y:I:X,10-Nov,5:26PM,NPMYIX
6-Nov Y/O/X 6:30PM,06-Nov,6:30PM,NYOXPM
Y-I-Z 3:31PM 8/Nov,08-Nov,3:31PM,YIZPMN
8/Nov 9:20PM YOY,08-Nov,9:20PM,NPMYOY
7/Nov Y-O-X 9:13AM,07-Nov,9:13AM,NYOXAM
9-Nov Y-O-H 9:03AM,09-Nov,9:03AM,NYOHAM
Y/O/X 7:13PM 6/Nov,06-Nov,7:13PM,YOXPMN
3:02PM YIW 9/Nov,09-Nov,3:02PM,PMYIWN
Y/O/W 11:06AM 6-Nov,06-Nov,11:06AM,YOWAMN
11:34PM Y:I:W 9/Nov,09-Nov,11:34PM,PMYIWN
Y-I-Z 7:42AM 10/Nov,10-Nov,7:42AM,YIZAMN
5:23PM YOH 10/Nov,10-Nov,5:23PM,PMYOHN
Y-O-Y 2:52PM 7/Nov,07-Nov,2:52PM,YOYPMN
8/Nov 11:31PM YIH,08-Nov,11:31PM,NPMYIH
Y:O:X 10:44AM 10/Nov,10-Nov,10:44AM,YOXAMN
9:13PM 7/Nov Y/O/X,07-Nov,9:13PM,PMNYOX
4:00PM 10-Nov YIX,10-Nov,4:00PM,PMNYIX
Y:I:Y 8:56AM 8/Nov,08-Nov,8:56AM,YIYAMN
12:30PM Y-I-W 8/Nov,08-Nov,12:30PM,PMYIWN
10-Nov Y:O:Y 9:23AM,10-Nov,9:23AM,NYOYAM
Y/I/H 8:37AM 8-Nov,08-Nov,8:37AM,YIHAMN
6-Nov 12:35PM Y/O/W,06-Nov,12:35PM,NPMYOW
Y:O:W 6:46PM 6/Nov,06-Nov,6:46PM,YOWPMN
Y-O-Y 1:54PM 10/Nov,10-Nov,1:54PM,YOYPMN
10:05AM YOW 7-Nov,07-Nov,10:05AM,AMYOWN
8-Nov Y-O-Z 7:37AM,08-Nov,7:37AM,NYOZAM
Y-I-Y 8:16AM 9-Nov,09-Nov,8:16AM,YIYAMN
5:38PM 10/Nov Y/I/H,10-Nov,5:38PM,PMNYIH
2:14PM YIH 10-Nov,10-Nov,2:14PM,PMYIHN
10-Nov Y/I/Y 10:17AM,10-Nov,10:17AM,NYIYAM
Y/O/W 6/Nov 7:06AM,06-Nov,7:06AM,YOWNAM
5:22PM 8-Nov YOH,08-Nov,5:22PM,PMNYOH
Y/O/W 9-Nov 6:25PM,09-Nov,6:25PM,YOWNPM
12:39PM YOZ 9-Nov,09-Nov,12:39PM,PMYOZN
7:58AM 7-Nov YOY,07-Nov,7:58AM,AMNYOY
6-Nov 4:30PM Y-I-W,06-Nov,4:30PM,NPMYIW
6:59AM 8-Nov Y-I-Z,08-Nov,6:59AM,AMNYIZ
1:59PM Y:I:X 8/Nov,08-Nov,1:59PM,PMYIXN
10/Nov Y/O/Z 7:11PM,10-Nov,7:11PM,NYOZPM
10/Nov Y/I/W 4:26PM,10-Nov,4:26PM,NYIWPM
6-Nov Y-O-Z 5:06PM,06-Nov,5:06PM,NYOZPM
8-Nov Y:O:Y 10:46AM,08-Nov,10:46AM,NYOYAM
Y:O:H 10-Nov 9:33AM,10-Nov,9:33AM,YOHNAM
Y:O:W 10:05AM 6/Nov,06-Nov,10:05AM,YOWAMN
9-Nov Y-I-H 10:04AM,09-Nov,10:04AM,NYIHAM
YIW 5:06PM 7/Nov,07-Nov,5:06PM,YIWPMN
7:03AM Y:O:H 7-Nov,07-Nov,7:03AM,AMYOHN
7/Nov Y-O-Y 2:22PM,07-Nov,2:22PM,NYOYPM
7:31AM Y-I-H 9-Nov,09-Nov,7:31AM,AMYIHN
Y/O/W 9:35AM 7-Nov,07-Nov,9:35AM,YOWAMN
Y:O:Y 7-Nov 7:26PM,07-Nov,7:26PM,YOYNPM
Y-O-H 9/Nov 12:01PM,09-Nov,12:01PM,YOHNPM
4:17PM 8-Nov Y/I/Y,08-Nov,4:17PM,PMNYIY
8:26AM 8-Nov Y-I-X,08-Nov,8:26AM,AMNYIX
12:43PM Y:O:X 9/Nov,09-Nov,12:43PM,PMYOXN
Y:O:X 9-Nov 5:37PM,09-Nov,5:37PM,YOXNPM
6-Nov 10:34PM Y/I/W,06-Nov,10:34PM,NPMYIW
Y-I-Y 9-Nov 11:42AM,09-Nov,11:42AM,YIYNAM
11:03AM Y-O-H 7-Nov,07-Nov,11:03AM,AMYOHN
2:57PM 6/Nov Y/I/W,06-Nov,2:57PM,PMNYIW
Y:I:Z 8:04PM 7-Nov,07-Nov,8:04PM,YIZPMN
2:09PM 6-Nov YOX,06-Nov,2:09PM,PMNYOX
Y-O-W 7-Nov 6:27PM,07-Nov,6:27PM,YOWNPM
Y:O:X 7-Nov 11:11AM,07-Nov,11:11AM,YOXNAM
2:02PM Y-I-X 10-Nov,10-Nov,2:02PM,PMYIXN
11:16AM Y/I/Y 7/Nov,07-Nov,11:16AM,AMYIYN
11:37PM 9/Nov YOZ,09-Nov,11:37PM,PMNYOZ
Y:O:X 6-Nov 10:42AM,06-Nov,10:42AM,YOXNAM
6/Nov 10:01AM YIH,06-Nov,10:01AM,NAMYIH
9/Nov Y:O:W 5:03PM,09-Nov,5:03PM,NYOWPM
7/Nov YOH 1:33PM,07-Nov,1:33PM,NYOHPM
YOW 8-Nov 6:47PM,08-Nov,6:47PM,YOWNPM
Y/I/H 12:09PM 10/Nov,10-Nov,12:09PM,YIHPMN
10/Nov 8:00AM Y:O:Y,10-Nov,8:00AM,NAMYOY
4:29PM 8/Nov YOZ,08-Nov,4:29PM,PMNYOZ
7-Nov Y:I:Z 7:03AM,07-Nov,7:03AM,NYIZAM
Y/I/W 9-Nov 9:30PM,09-Nov,9:30PM,YIWNPM
3:03PM 7/Nov Y/I/H,07-Nov,3:03PM,PMNYIH
Y/O/H 12:33PM 7-Nov,07-Nov,12:33PM,YOHPMN
6-Nov 10:41AM Y-I-Y,06-Nov,10:41AM,NAMYIY
5:32PM 6/Nov YIH,06-Nov,5:32PM,PMNYIH
10-Nov 10:33PM Y/I/W,10-Nov,10:33PM,NPMYIW
Y:O:Z 10/Nov 9:37PM,10-Nov,9:37PM,YOZNPM
Y/I/Y 4:41PM 9-Nov,09-Nov,4:41PM,YIYPMN
Y-O-H 10/Nov 8:20AM,10-Nov,8:20AM,YOHNAM
8/Nov 4:38PM Y:I:H,08-Nov,4:38PM,NPMYIH
6/Nov 11:10AM YOX,06-Nov,11:10AM,NAMYOX
8:46AM 7-Nov Y:I:W,07-Nov,8:46AM,AMNYIW
10-Nov 9:13PM Y:O:X,10-Nov,9:13PM,NPMYOX
Y/O/Z 7-Nov 1:04PM,07-Nov,1:04PM,YOZNPM
4:56PM 6/Nov Y/I/X,06-Nov,4:56PM,PMNYIX
9-Nov 7:01PM Y:I:Z,09-Nov,7:01PM,NPMYIZ
8-Nov 12:44PM Y/I/Y,08-Nov,12:44PM,NPMYIY
7/Nov Y/O/W 8:28AM,07-Nov,8:28AM,NYOWAM
YIX 7/Nov 9:27AM,07-Nov,9:27AM,YIXNAM
6-Nov Y/O/Z 5:55PM,06-Nov,5:55PM,NYOZPM
2:59PM Y:I:W 7/Nov,07-Nov,2:59PM,PMYIWN
9-Nov Y/I/H 10:35AM,09-Nov,10:35AM,NYIHAM
9:58AM 6/Nov YIW,06-Nov,9:58AM,AMNYIW
9-Nov Y/O/Z 6:01PM,09-Nov,6:01PM,NYOZPM
1:31PM Y/O/H 6-Nov,06-Nov,1:31PM,PMYOHN
YIH 6/Nov 11:34PM,06-Nov,11:34PM,YIHNPM
7/Nov 9:03PM Y/O/H,07-Nov,9:03PM,NPMYOH
YIZ 10:02PM 8-Nov,08-Nov,10:02PM,YIZPMN
8-Nov 8:21PM YOY,08-Nov,8:21PM,NPMYOY
9:08AM 6/Nov YOX,06-Nov,9:08AM,AMNYOX
Y/O/Y 6-Nov 2:53PM,06-Nov,2:53PM,YOYNPM
10-Nov 10:00AM Y-I-X,10-Nov,10:00AM,NAMYIX
Y-I-W 10/Nov 7:54AM,10-Nov,7:54AM,YIWNAM
Y/I/X 9/Nov 2:55PM,09-Nov,2:55PM,YIXNPM
9:11AM 9/Nov Y:O:X,09-Nov,9:11AM,AMNYOX
8-Nov Y:I:W 5:35PM,08-Nov,5:35PM,NYIWPM
Y/I/Z 8:03AM 9-Nov,09-Nov,8:03AM,YIZAMN
6-Nov Y:I:X 8:24PM,06-Nov,8:24PM,NYIXPM
6/Nov 8:56AM YIW,06-Nov,8:56AM,NAMYIW
Y:O:H 8-Nov 3:00PM,08-Nov,3:00PM,YOHNPM
10-Nov 12:05PM Y:I:W,10-Nov,12:05PM,NPMYIW
7-Nov 10:01AM Y-I-Z,07-Nov,10:01AM,NAMYIZ
Y/O/H 10:00PM 6/Nov,06-Nov,10:00PM,YOHPMN
10-Nov 1:29PM Y/I/W,10-Nov,1:29PM,NPMYIW
5:00PM 10-Nov Y-I-H,10-Nov,5:00PM,PMNYIH
7:38AM Y-I-H 8/Nov,08-Nov,7:38AM,AMYIHN
1:34PM 8/Nov Y/I/Z,08-Nov,1:34PM,PMNYIZ
Y:I:X 9-Nov 2:24PM,09-Nov,2:24PM,YIXNPM
Y-O-X 10/Nov 4:17PM,10-Nov,4:17PM,YOXNPM
Y/I/H 8:51AM 7-Nov,07-Nov,8:51AM,YIHAMN
9/Nov 5:16PM Y/O/Y,09-Nov,5:16PM,NPMYOY
8:04AM YIZ 10-Nov,10-Nov,8:04AM,AMYIZN
11:31AM 9-Nov Y/O/H,09-Nov,11:31AM,AMNYOH
10:20PM 6/Nov Y-O-Y,06-Nov,10:20PM,PMNYOY
7-Nov 2:14PM YIY,07-Nov,2:14PM,NPMYIY
Y-I-X 6/Nov 2:52PM,06-Nov,2:52PM,YIXNPM
5:33PM 7/Nov Y/I/H,07-Nov,5:33PM,PMNYIH
6-Nov 8:10AM Y/I/W,06-Nov,8:10AM,NAMYIW
6:51PM 10/Nov Y/O/X,10-Nov,6:51PM,PMNYOX
9:56AM 6/Nov Y:O:Y,06-Nov,9:56AM,AMNYOY
10-Nov YOZ 10:39PM,10-Nov,10:39PM,NYOZPM
Y-I-H 2:33PM 9-Nov,09-Nov,2:33PM,YIHPMN
9/Nov 1:08PM Y:O:W,09-Nov,1:08PM,NPMYOW
8-Nov Y-I-Z 11:04AM,08-Nov,11:04AM,NYIZAM
9/Nov Y-I-W 10:28PM,09-Nov,10:28PM,NYIWPM
7-Nov YOZ 11:12AM,07-Nov,11:12AM,NYOZAM
Y-O-X 7:11PM 9-Nov,09-Nov,7:11PM,YOXPMN
8-Nov Y:O:X 6:37PM,08-Nov,6:37PM,NYOXPM
10/Nov 7:12AM Y/O/X,10-Nov,7:12AM,NAMYOX
11:08AM Y-I-H 9/Nov,09-Nov,11:08AM,AMYIHN
8/Nov 5:05PM Y/O/W,08-Nov,5:05PM,NPMYOW
Y/O/Z 8/Nov 3:33PM,08-Nov,3:33PM,YOZNPM
7/Nov 11:25AM Y/I/X,07-Nov,11:25AM,NAMYIX
9:36AM Y/O/W 8-Nov,08-Nov,9:36AM,AMYOWN
10:24AM 9-Nov YOY,09-Nov,10:24AM,AMNYOY
Y-I-W 9/Nov 7:53AM,09-Nov,7:53AM,YIWNAM
Y/O/H 6-Nov 6:02PM,06-Nov,6:02PM,YOHNPM
Y/I/W 7:27PM 6/Nov,06-Nov,7:27PM,YIWPMN
12:15PM 9-Nov Y-O-X,09-Nov,12:15PM,PMNYOX
Y/I/W 7/Nov 9:08AM,07-Nov,9:08AM,YIWNAM
YIY 7/Nov 3:44PM,07-Nov,3:44PM,YIYNPM
Y:I:X 8-Nov 11:22PM,08-Nov,11:22PM,YIXNPM
9/Nov 11:00AM YOH,09-Nov,11:00AM,NAMYOH
10:04PM 6/Nov YIZ,06-Nov,10:04PM,PMNYIZ
8-Nov Y/I/X 9:07AM,08-Nov,9:07AM,NYIXAM
Y/O/Y 7/Nov 9:48AM,07-Nov,9:48AM,YOYNAM
10-Nov YOY 3:20PM,10-Nov,3:20PM,NYOYPM
3:04PM 10/Nov Y:I:Z,10-Nov,3:04PM,PMNYIZ
Y/O/Y 7:20AM 9-Nov,09-Nov,7:20AM,YOYAMN
8-Nov Y-I-Y 8:12PM,08-Nov,8:12PM,NYIYPM
YIY 11:51AM 10-Nov,10-Nov,11:51AM,YIYAMN
9-Nov Y:O:Z 6:56PM,09-Nov,6:56PM,NYOZPM
YOY 11:19PM 8/Nov,08-Nov,11:19PM,YOYPMN
9/Nov Y/O/X 6:56PM,09-Nov,6:56PM,NYOXPM
6/Nov 8:40AM Y:I:Y,06-Nov,8:40AM,NAMYIY
YOX 5:12PM 8-Nov,08-Nov,5:12PM,YOXPMN
8:23AM Y-I-X 7/Nov,07-Nov,8:23AM,AMYIXN
Y-O-H 4:33PM 10-Nov,10-Nov,4:33PM,YOHPMN
9/Nov Y-O-X 10:37AM,09-Nov,10:37AM,NYOXAM
9-Nov YOW 7:04AM,09-Nov,7:04AM,NYOWAM
7-Nov 7:08PM Y-O-W,07-Nov,7:08PM,NPMYOW
11:38AM 7-Nov Y-O-W,07-Nov,11:38AM,AMNYOW
7-Nov Y-O-Y 8:21PM,07-Nov,8:21PM,NYOYPM
9:53AM Y:O:Y 10-Nov,10-Nov,9:53AM,AMYOYN
Y:O:W 7-Nov 1:04PM,07-Nov,1:04PM,YOWNPM
Y/O/H 7:03PM 7/Nov,07-Nov,7:03PM,YOHPMN
9-Nov Y-I-X 9:09AM,09-Nov,9:09AM,NYIXAM
10-Nov Y-I-Y 3:19PM,10-Nov,3:19PM,NYIYPM
9:22AM 7-Nov Y:O:Y,07-Nov,9:22AM,AMNYOY
4:02PM YOH 8/Nov,08-Nov,4:02PM,PMYOHN
10:59AM Y/I/X 9-Nov,09-Nov,10:59AM,AMYIXN
5:39PM Y-I-Z 8-Nov,08-Nov,5:39PM,PMYIZN
7:18PM 7-Nov Y:I:Y,07-Nov,7:18PM,PMNYIY
6/Nov YIY 7:38AM,06-Nov,7:38AM,NYIYAM
8:33AM 10-Nov Y-O-X,10-Nov,8:33AM,AMNYOX
10-Nov Y:I:H 4:30PM,10-Nov,4:30PM,NYIHPM
Y:O:Y 9-Nov 10:45AM,09-Nov,10:45AM,YOYNAM
10/Nov Y-O-H 6:22PM,10-Nov,6:22PM,NYOHPM
7-Nov 5:00PM YIZ,07-Nov,5:00PM,NPMYIZ
Y-I-W 10/Nov 8:32PM,10-Nov,8:32PM,YIWNPM
8/Nov Y/I/Z 1:05PM,08-Nov,1:05PM,NYIZPM
Y-I-Z 5:44PM 7/Nov,07-Nov,5:44PM,YIZPMN
YIY 6/Nov 9:17AM,06-Nov,9:17AM,YIYNAM
Y/O/Z 6-Nov 10:33AM,06-Nov,10:33AM,YOZNAM
3:03PM Y:I:Z 9/Nov,09-Nov,3:03PM,PMYIZN
YOW 6/Nov 1:36PM,06-Nov,1:36PM,YOWNPM
6-Nov Y-I-Y 4:44PM,06-Nov,4:44PM,NYIYPM
6-Nov 6:02PM Y:O:Y,06-Nov,6:02PM,NPMYOY
Y:I:H 7/Nov 9:13AM,07-Nov,9:13AM,YIHNAM
7:05PM Y-O-Z 8/Nov,08-Nov,7:05PM,PMYOZN
8-Nov YIY 3:13PM,08-Nov,3:13PM,NYIYPM
Y:I:W 8/Nov 9:37PM,08-Nov,9:37PM,YIWNPM
