ModelOff 2017 - Round 1 - Section 3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,Opening balance,,,,,[$],3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interest rate,,,,,[% p.a.],0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Target maturity date,,,,,[date],2030-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,,Cash generated from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cash generated from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Profile 1,,,,[$ nominal],,,,,,1193084.5839555846,1280899.3484749948,1237461.5561064575,1181674.7928202343,1187108.2130608882,1207601.4330362824,1170681.5042149932,1182884.7987555645,1153305.256473944,1100499.9034176273,1105157.8017220697,1616770.0407034103,1713948.721569852,1573108.9147265651,1559993.9216692278,1591703.0918475748,1467319.8935123894,1451971.811436218,1435034.5963928928,1476460.12628166,1379371.05111941,1304179.6397521265,1323636.1917217178,1265138.089827525,1248369.694648682,505444.79650658526,-57091.62641549735,-31203.811956714235,-8819.314869349373,-46128.30191589506,8245.31603029411,25782.66551455516,34752.99111466158,32998.080163971,42297.494895356744,40214.70352590203
,,,Profile 2,,,,[$ nominal],,,,,,1180270.5100223545,1275727.9518326232,1221797.6980047529,1167161.3141350483,1180871.4278817028,1184313.8668762972,1154687.2609332239,1135398.2544205307,1135044.6594328408,1095546.5670304229,1103562.6892127974,1609862.4970491393,1710808.4985140455,1572929.3797641397,1527039.8074057612,1554812.6776954797,1466280.4289328577,1440321.0663587325,1385475.196329675,1428040.7712023212,1375207.8706473806,1281561.8972717102,1311073.5811941375,1256117.9308699076,1238019.6035925255,495866.46626321157,-29993.434084245728,-17262.397536086624,-5248.968283369812,-29309.831868909387,5364.199311935145,23623.771762550583,19769.98545361767,13100.695255903855,37471.120351427366,24798.898156708856
,,,Profile 3,,,,[$ nominal],,,,,,1009907.7767296777,1086044.7424740118,1063390.8068090295,1002073.2850308537,1034436.4353032059,1056688.690667834,986173.9847669421,986153.9086161447,990685.8230284784,918095.0884897148,893797.0034268994,840035.113144301,1544398.1844579834,1396383.5891481957,1395650.5320606618,1405830.044246416,1340335.6482896123,1287750.1281211637,1278460.4382966105,1277028.569937704,1170168.7465947806,1126329.9104620805,1157864.7610814986,1119267.8543583266,1087927.5954720874,1073242.9433401334,195914.12794937385,28799.55482856933,32950.44907603219,12413.768329773156,28755.32681122821,7332.232820395535,22907.039652855277,36703.67065178551,44667.206307779976,21744.17382170701
,,,Profile 4,,,,[$ nominal],,,,,,1135914.5848578413,1079551.501252565,1108888.507993919,1060065.3995099235,1027593.7394839926,1065199.3937953522,1012805.6512353873,1052042.8016104808,948495.3112838411,973654.2678233148,901381.7192541864,894081.6556886411,1501235.5490796845,1461383.4562511456,1456460.0173745945,1379689.4306617412,1377222.963654068,1368694.3402378894,1249473.3883326333,1224151.6278346197,1259019.5222129412,1208819.8621638087,1147389.9984873058,1196583.9062468598,1158072.2619812062,1130380.5158643872,335192.69359270105,77694.23619259014,269.9055401925943,9544.464130807073,78501.80343073803,55367.969795954894,41052.94836009159,50586.88842391499,20800.062561315648,57805.464488113656
,,,Profile 5,,,,[$ nominal],,,,,,1174051.3997789517,1265415.18272047,1229785.8493751897,168009.70530445,179623.06660843,204700.09538344,1161914.4151174228,1180132.864521018,1145362.5218711228,1090878.1832208675,1101025.3946864046,1604454.2182697374,1701948.095096875,1564498.88512978,1559754.7159481517,1584101.2969582938,1459009.3090321948,1449926.2675272017,1434990.5470021337,1457678.0936877418,1376200.725276786,1293915.889738651,1321035.9229311743,1256085.8744126938,1248037.5256264748,495408.9518856897,-39272.16798996067,-13751.723354345017,-3614.114906584882,-25825.55925580496,2795.128402670729,12721.911674128265,19670.732147701172,17621.17830227495,27952.233739057305,25560.384182257338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,End Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
